cultivar;quantidade_kg;categorias;ano;sem_definicao
Canaiolo;-;Viníferas;2017;
Carignan;-;Viníferas;2017;
Carmenere;76.625;Viníferas;2017;
Castelão;-;Viníferas;2017;
Corvina;69.910;Viníferas;2017;
Croatina;-;Viníferas;2017;
Cinsaut;-;Viníferas;2017;
Dom Felder;-;Viníferas;2017;
Dolcetto;-;Viníferas;2017;
Durif;-;Viníferas;2017;
Egiodola;6.322.152;Viníferas;2017;
Ekigaina;2.202.348;Viníferas;2017;
Festival (Sugraone);-;Viníferas;2017;
Franconia;-;Viníferas;2017;
Freisa;-;Viníferas;2017;
Gamay St Romain;-;Viníferas;2017;
Gamay Beaujolais;5.375.879;Viníferas;2017;
Grand Noir;-;Viníferas;2017;
Grenache;1.715.870;Viníferas;2017;
Jaen;-;Viníferas;2017;
Lagrein;94.970;Viníferas;2017;
Lambrusco;3.221.972;Viníferas;2017;
Malbec;8.502.206;Viníferas;2017;
Marzemina;-;Viníferas;2017;
Merlot;494.356;Viníferas;2017;
Marselan;154.348;Viníferas;2017;
Molinera;569;Viníferas;2017;
Montepulciano;28.485;Viníferas;2017;
Moscato Bailey;3.541.181;Viníferas;2017;
Napa Gamay;-;Viníferas;2017;
Nebbiolo;254.738;Viníferas;2017;
Petit Verdot;277.189;Viníferas;2017;
Petite Sirah;198.152;Viníferas;2017;
Pinotage;1.281.674;Viníferas;2017;
Pinot Noir;6.184.345;Viníferas;2017;
Pinot Saint George;-;Viníferas;2017;
Piriquita;-;Viníferas;2017;
Rebo;15.912;Viníferas;2017;
Refosco;380;Viníferas;2017;
Rondinella;684.860;Viníferas;2017;
Ruby Cabernet;78.412;Viníferas;2017;
Sangiovese;3.324.793;Viníferas;2017;
Sira (falsa);-;Viníferas;2017;
Tannat;2.634.802;Viníferas;2017;
Tempranillo;968.038;Viníferas;2017;
Teroldego;717.757;Viníferas;2017;
Torrontes;-;Viníferas;2017;
Tinta Barroca;-;Viníferas;2017;
Touriga Francesa;-;Viníferas;2017;
Touriga Nacional;38.910;Viníferas;2017;
Tinta Madeira;-;Viníferas;2017;
Tintoria;-;Viníferas;2017;
Trincdeira;-;Viníferas;2017;
Trousseau;-;Viníferas;2017;
Zinfandel;-;Viníferas;2017;
Outras1;-;Viníferas;2017;
BRANCAS E ROSADAS;71.266.239;Viníferas;2017;
Aliatico;-;Viníferas;2017;
Aligote;-;Viníferas;2017;
Altesse;-;Viníferas;2017;
Alvarinho;242.238;Viníferas;2017;
Arriloba;-;Viníferas;2017;
Auxerrois;-;Viníferas;2017;
Burger;-;Viníferas;2017;
Chardonnay;4.200.465;Viníferas;2017;
Chasselas;-;Viníferas;2017;
Chenin Blanc;49.100;Viníferas;2017;
Clairette(1);-;Viníferas;2017;
Colombard;97.713;Viníferas;2017;
Flora;-;Viníferas;2017;
Garganega;439.160;Viníferas;2017;
Gewurztraminer;3.201.453;Viníferas;2017;
Gouveio;-;Viníferas;2017;
Gros Manseng;-;Viníferas;2017;
Italia (Pirovano 65) (PE);1.858.705;Viníferas;2017;
Maccabeo;-;Viníferas;2017;
Malvasia;-;Viníferas;2017;
Malvasia Amarela;3.980;Viníferas;2017;
Malvasia Bianca;1.165.104;Viníferas;2017;
Malvasia Chianti;-;Viníferas;2017;
Malvasia Verde;3.578;Viníferas;2017;
Malvasia di Candia;1.544.223;Viníferas;2017;
Malvasia Istriana;950;Viníferas;2017;
Mistura de uvas viníferas branco;12.278;Viníferas;2017;
Mistura de uvas viníferas rosado;325.922;Viníferas;2017;
Moscato Branco;12.100.995;Viníferas;2017;
Moscato Canelli;109.714;Viníferas;2017;
Moscato Giallo;6.365.205;Viníferas;2017;
Moscato Nazareno;77.912;Viníferas;2017;
Moscato Bianco R2;2.920.047;Viníferas;2017;
Moscato de Alexandria;431.897;Viníferas;2017;
Moscato Rosado;15.030;Viníferas;2017;
Muscat à Petits Grains;895.346;Viníferas;2017;
Muller Thurgau;-;Viníferas;2017;
Muscadelle;-;Viníferas;2017;
Ora;-;Viníferas;2017;
Palomino;-;Viníferas;2017;
Petit Manseng;570;Viníferas;2017;
Peverella;70.925;Viníferas;2017;
Pinot Blanc;-;Viníferas;2017;
Pinot Gris;79.922;Viníferas;2017;
Prosecco;184.218;Viníferas;2017;
Red Veltliner;-;Viníferas;2017;
Riesling Italico;20.399.648;Viníferas;2017;
Riesling Renano;13.385.970;Viníferas;2017;
Sauvignon Blanc(2);728.633;Viníferas;2017;
Sauvignon Gris;-;Viníferas;2017;
Seara Nova;-;Viníferas;2017;
Semillon;4.000;Viníferas;2017;
Schonburger;5.500;Viníferas;2017;
Sylvaner;-;Viníferas;2017;
Tocai Friulano;-;Viníferas;2017;
Trebbiano;67.720;Viníferas;2017;
Trebbiano Toscano;184.310;Viníferas;2017;
Verdea;-;Viníferas;2017;
Verdelho;15.503;Viníferas;2017;
Verdiso;-;Viníferas;2017;
Vermentino;-;Viníferas;2017;
Vernaccia;-;Viníferas;2017;
Viognier;78.305;Viníferas;2017;
Outras(3);-;Viníferas;2017;
Total;164.562.826;Viníferas;2017;
TINTAS;394.224.543;Americanas e híbridas;2017;
Bacarina;-;Americanas e híbridas;2017;
Bailey;4.092.669;Americanas e híbridas;2017;
Bordo;117.655.879;Americanas e híbridas;2017;
Bourdin (S);-;Americanas e híbridas;2017;
BRS Carmen;13.771.662;Americanas e híbridas;2017;
BRS Cora;6.442.555;Americanas e híbridas;2017;
BRS Magna;2.094.359;Americanas e híbridas;2017;
BRS Margot;86.932;Americanas e híbridas;2017;
BRS Morena;-;Americanas e híbridas;2017;
BRS Rúbea;191.970;Americanas e híbridas;2017;
BRS Violeta;15.601.302;Americanas e híbridas;2017;
BRS Vitória;125.731;Americanas e híbridas;2017;
Champagnon (Champanheta);-;Americanas e híbridas;2017;
Coleções;-;Americanas e híbridas;2017;
Concord;367.793;Americanas e híbridas;2017;
Concord clone 30;621.693;Americanas e híbridas;2017;
Couderc;54.081.578;Americanas e híbridas;2017;
Cynthiana(1);7.346.675;Americanas e híbridas;2017;
Herbemont;14.846.723;Americanas e híbridas;2017;
IAC 138022;-;Americanas e híbridas;2017;
Isabel;125.664.882;Americanas e híbridas;2017;
Isabel Precoce;12.814.595;Americanas e híbridas;2017;
Jacquez;17.862.770;Americanas e híbridas;2017;
Kyoko;-;Americanas e híbridas;2017;
Landot;-;Americanas e híbridas;2017;
Mistura de uvas americanas tinto;8.617;Americanas e híbridas;2017;
Oberlin;-;Americanas e híbridas;2017;
Othello;-;Americanas e híbridas;2017;
Paco;-;Americanas e híbridas;2017;
Patricia;-;Americanas e híbridas;2017;
Seibel;351.956;Americanas e híbridas;2017;
Seibel 2 (seibeleto);26.032;Americanas e híbridas;2017;
Seyve Willard (Tinta);67.600;Americanas e híbridas;2017;
Vênus;100.570;Americanas e híbridas;2017;
BRANCAS E ROSADAS;175.576.873;Americanas e híbridas;2017;
Baco;-;Americanas e híbridas;2017;
Bokay;12.830;Americanas e híbridas;2017;
BRS Clara;-;Americanas e híbridas;2017;
BRS Lorena;23.133.629;Americanas e híbridas;2017;
Couderc 13;33.620.117;Americanas e híbridas;2017;
Delaware;-;Americanas e híbridas;2017;
Dona Zillá;10.610;Americanas e híbridas;2017;
Dut Chess;-;Americanas e híbridas;2017;
Goethe;104.596.918;Americanas e híbridas;2017;
IAC;-;Americanas e híbridas;2017;
Juliana;-;Americanas e híbridas;2017;
Martha;113.040;Americanas e híbridas;2017;
Mistura de uvas americanas;1.856;Americanas e híbridas;2017;
Moscato Embrapa;5.747.131;Americanas e híbridas;2017;
Niagara;-;Americanas e híbridas;2017;
Niagara Branca;5.574.368;Americanas e híbridas;2017;
Niagara Rosada;2.170.241;Americanas e híbridas;2017;
Poloske;402.953;Americanas e híbridas;2017;
Seleções;-;Americanas e híbridas;2017;
Seyve Villard;-;Americanas e híbridas;2017;
Seyve Villard 5276;97.368;Americanas e híbridas;2017;
Seyve Villard 12375;61.942;Americanas e híbridas;2017;
Tardia de Caxias;33.870;Americanas e híbridas;2017;
Outras(2);-;Americanas e híbridas;2017;
Total;569.801.416;Americanas e híbridas;2017;
TINTAS;21.732;Uvas de mesa;2017;
Alphonse Lavallee;-;Uvas de mesa;2017;
Moscato de Hamburgo;21.732;Uvas de mesa;2017;
BRANCAS;52.760;Uvas de mesa;2017;
Cardinal;-;Uvas de mesa;2017;
Golden Queen;-;Uvas de mesa;2017;
Patrícia;-;Uvas de mesa;2017;
Perlona;1.710;Uvas de mesa;2017;
Italia;-;Uvas de mesa;2017;
Rubi (Itália, Itália Ro);51.050;Uvas de mesa;2017;
Total;74.492;Uvas de mesa;2017;
;-;Sem classificação;2017;Sem classificação
;0;Sem classificação;2017;Total
TINTAS;93.296.587;Viníferas;2018;
Alicante Bouschet;811.140;Viníferas;2018;
Ancelota;6.513.974;Viníferas;2018;
Aramon;-;Viníferas;2018;
Alfrocheiro;-;Viníferas;2018;
Arinarnoa;2.785.609;Viníferas;2018;
Aspirant Bouschet;15.691.137;Viníferas;2018;
Barbera;437.640;Viníferas;2018;
Bonarda;3.110;Viníferas;2018;
Cabernet Franc;16.626.545;Viníferas;2018;
Cabernet Sauvignon;1.857.999;Viníferas;2018;
Caladoc;108.600;Viníferas;2018;
Campanario;-;Viníferas;2018;
Canaiolo;-;Viníferas;2018;
Carignan;-;Viníferas;2018;
Carmenere;76.625;Viníferas;2018;
Castelão;-;Viníferas;2018;
Corvina;69.910;Viníferas;2018;
Croatina;-;Viníferas;2018;
Cinsaut;-;Viníferas;2018;
Dom Felder;-;Viníferas;2018;
Dolcetto;-;Viníferas;2018;
Durif;-;Viníferas;2018;
Egiodola;6.322.152;Viníferas;2018;
Ekigaina;2.202.348;Viníferas;2018;
Festival (Sugraone);-;Viníferas;2018;
Franconia;-;Viníferas;2018;
Freisa;-;Viníferas;2018;
Gamay St Romain;-;Viníferas;2018;
Gamay Beaujolais;5.375.879;Viníferas;2018;
Grand Noir;-;Viníferas;2018;
Grenache;1.715.870;Viníferas;2018;
Jaen;-;Viníferas;2018;
Lagrein;94.970;Viníferas;2018;
Lambrusco;3.221.972;Viníferas;2018;
Malbec;8.502.206;Viníferas;2018;
Marzemina;-;Viníferas;2018;
Merlot;494.356;Viníferas;2018;
Marselan;154.348;Viníferas;2018;
Molinera;569;Viníferas;2018;
Montepulciano;28.485;Viníferas;2018;
Moscato Bailey;3.541.181;Viníferas;2018;
Napa Gamay;-;Viníferas;2018;
Nebbiolo;254.738;Viníferas;2018;
Petit Verdot;277.189;Viníferas;2018;
Petite Sirah;198.152;Viníferas;2018;
Pinotage;1.281.674;Viníferas;2018;
Pinot Noir;6.184.345;Viníferas;2018;
Pinot Saint George;-;Viníferas;2018;
Piriquita;-;Viníferas;2018;
Rebo;15.912;Viníferas;2018;
Refosco;380;Viníferas;2018;
Rondinella;684.860;Viníferas;2018;
Ruby Cabernet;78.412;Viníferas;2018;
Sangiovese;3.324.793;Viníferas;2018;
Sira (falsa);-;Viníferas;2018;
Tannat;2.634.802;Viníferas;2018;
Tempranillo;968.038;Viníferas;2018;
Teroldego;717.757;Viníferas;2018;
Torrontes;-;Viníferas;2018;
Tinta Barroca;-;Viníferas;2018;
Touriga Francesa;-;Viníferas;2018;
Touriga Nacional;38.910;Viníferas;2018;
Tinta Madeira;-;Viníferas;2018;
Tintoria;-;Viníferas;2018;
Trincdeira;-;Viníferas;2018;
Trousseau;-;Viníferas;2018;
Zinfandel;-;Viníferas;2018;
Outras1;-;Viníferas;2018;
BRANCAS E ROSADAS;71.266.239;Viníferas;2018;
Aliatico;-;Viníferas;2018;
Aligote;-;Viníferas;2018;
Altesse;-;Viníferas;2018;
Alvarinho;242.238;Viníferas;2018;
Arriloba;-;Viníferas;2018;
Auxerrois;-;Viníferas;2018;
Burger;-;Viníferas;2018;
Chardonnay;4.200.465;Viníferas;2018;
Chasselas;-;Viníferas;2018;
Chenin Blanc;49.100;Viníferas;2018;
Clairette(1);-;Viníferas;2018;
Colombard;97.713;Viníferas;2018;
Flora;-;Viníferas;2018;
Garganega;439.160;Viníferas;2018;
Gewurztraminer;3.201.453;Viníferas;2018;
Gouveio;-;Viníferas;2018;
Gros Manseng;-;Viníferas;2018;
Italia (Pirovano 65) (PE);1.858.705;Viníferas;2018;
Maccabeo;-;Viníferas;2018;
Malvasia;-;Viníferas;2018;
Malvasia Amarela;3.980;Viníferas;2018;
Malvasia Bianca;1.165.104;Viníferas;2018;
Malvasia Chianti;-;Viníferas;2018;
Malvasia Verde;3.578;Viníferas;2018;
Malvasia di Candia;1.544.223;Viníferas;2018;
Malvasia Istriana;950;Viníferas;2018;
Mistura de uvas viníferas branco;12.278;Viníferas;2018;
Mistura de uvas viníferas rosado;325.922;Viníferas;2018;
Moscato Branco;12.100.995;Viníferas;2018;
Moscato Canelli;109.714;Viníferas;2018;
Moscato Giallo;6.365.205;Viníferas;2018;
Moscato Nazareno;77.912;Viníferas;2018;
Moscato Bianco R2;2.920.047;Viníferas;2018;
Moscato de Alexandria;431.897;Viníferas;2018;
Moscato Rosado;15.030;Viníferas;2018;
Muscat à Petits Grains;895.346;Viníferas;2018;
Muller Thurgau;-;Viníferas;2018;
Muscadelle;-;Viníferas;2018;
Ora;-;Viníferas;2018;
Palomino;-;Viníferas;2018;
Petit Manseng;570;Viníferas;2018;
Peverella;70.925;Viníferas;2018;
Pinot Blanc;-;Viníferas;2018;
Pinot Gris;79.922;Viníferas;2018;
Prosecco;184.218;Viníferas;2018;
Red Veltliner;-;Viníferas;2018;
Riesling Italico;20.399.648;Viníferas;2018;
Riesling Renano;13.385.970;Viníferas;2018;
Sauvignon Blanc(2);728.633;Viníferas;2018;
Sauvignon Gris;-;Viníferas;2018;
Seara Nova;-;Viníferas;2018;
Semillon;4.000;Viníferas;2018;
Schonburger;5.500;Viníferas;2018;
Sylvaner;-;Viníferas;2018;
Tocai Friulano;-;Viníferas;2018;
Trebbiano;67.720;Viníferas;2018;
Trebbiano Toscano;184.310;Viníferas;2018;
Verdea;-;Viníferas;2018;
Verdelho;15.503;Viníferas;2018;
Verdiso;-;Viníferas;2018;
Vermentino;-;Viníferas;2018;
Vernaccia;-;Viníferas;2018;
Viognier;78.305;Viníferas;2018;
Outras(3);-;Viníferas;2018;
Total;164.562.826;Viníferas;2018;
TINTAS;394.224.543;Americanas e híbridas;2018;
Bacarina;-;Americanas e híbridas;2018;
Bailey;4.092.669;Americanas e híbridas;2018;
Bordo;117.655.879;Americanas e híbridas;2018;
Bourdin (S);-;Americanas e híbridas;2018;
BRS Carmen;13.771.662;Americanas e híbridas;2018;
BRS Cora;6.442.555;Americanas e híbridas;2018;
BRS Magna;2.094.359;Americanas e híbridas;2018;
BRS Margot;86.932;Americanas e híbridas;2018;
BRS Morena;-;Americanas e híbridas;2018;
BRS Rúbea;191.970;Americanas e híbridas;2018;
BRS Violeta;15.601.302;Americanas e híbridas;2018;
BRS Vitória;125.731;Americanas e híbridas;2018;
Champagnon (Champanheta);-;Americanas e híbridas;2018;
Coleções;-;Americanas e híbridas;2018;
Concord;367.793;Americanas e híbridas;2018;
Concord clone 30;621.693;Americanas e híbridas;2018;
Couderc;54.081.578;Americanas e híbridas;2018;
Cynthiana(1);7.346.675;Americanas e híbridas;2018;
Herbemont;14.846.723;Americanas e híbridas;2018;
IAC 138022;-;Americanas e híbridas;2018;
Isabel;125.664.882;Americanas e híbridas;2018;
Isabel Precoce;12.814.595;Americanas e híbridas;2018;
Jacquez;17.862.770;Americanas e híbridas;2018;
Kyoko;-;Americanas e híbridas;2018;
Landot;-;Americanas e híbridas;2018;
Mistura de uvas americanas tinto;8.617;Americanas e híbridas;2018;
Oberlin;-;Americanas e híbridas;2018;
Othello;-;Americanas e híbridas;2018;
Paco;-;Americanas e híbridas;2018;
Patricia;-;Americanas e híbridas;2018;
Seibel;351.956;Americanas e híbridas;2018;
Seibel 2 (seibeleto);26.032;Americanas e híbridas;2018;
Seyve Willard (Tinta);67.600;Americanas e híbridas;2018;
Vênus;100.570;Americanas e híbridas;2018;
BRANCAS E ROSADAS;175.576.873;Americanas e híbridas;2018;
Baco;-;Americanas e híbridas;2018;
Bokay;12.830;Americanas e híbridas;2018;
BRS Clara;-;Americanas e híbridas;2018;
BRS Lorena;23.133.629;Americanas e híbridas;2018;
Couderc 13;33.620.117;Americanas e híbridas;2018;
Delaware;-;Americanas e híbridas;2018;
Dona Zillá;10.610;Americanas e híbridas;2018;
Dut Chess;-;Americanas e híbridas;2018;
Goethe;104.596.918;Americanas e híbridas;2018;
IAC;-;Americanas e híbridas;2018;
Juliana;-;Americanas e híbridas;2018;
Martha;113.040;Americanas e híbridas;2018;
Mistura de uvas americanas;1.856;Americanas e híbridas;2018;
Moscato Embrapa;5.747.131;Americanas e híbridas;2018;
Niagara;-;Americanas e híbridas;2018;
Niagara Branca;5.574.368;Americanas e híbridas;2018;
Niagara Rosada;2.170.241;Americanas e híbridas;2018;
Poloske;402.953;Americanas e híbridas;2018;
Seleções;-;Americanas e híbridas;2018;
Seyve Villard;-;Americanas e híbridas;2018;
Seyve Villard 5276;97.368;Americanas e híbridas;2018;
Seyve Villard 12375;61.942;Americanas e híbridas;2018;
Tardia de Caxias;33.870;Americanas e híbridas;2018;
Outras(2);-;Americanas e híbridas;2018;
Total;569.801.416;Americanas e híbridas;2018;
TINTAS;21.732;Uvas de mesa;2018;
Alphonse Lavallee;-;Uvas de mesa;2018;
Moscato de Hamburgo;21.732;Uvas de mesa;2018;
BRANCAS;52.760;Uvas de mesa;2018;
Cardinal;-;Uvas de mesa;2018;
Golden Queen;-;Uvas de mesa;2018;
Patrícia;-;Uvas de mesa;2018;
Perlona;1.710;Uvas de mesa;2018;
Italia;-;Uvas de mesa;2018;
Rubi (Itália, Itália Ro);51.050;Uvas de mesa;2018;
Total;74.492;Uvas de mesa;2018;
;-;Sem classificação;2018;Sem classificação
;0;Sem classificação;2018;Total
TINTAS;93.296.587;Viníferas;2019;
Alicante Bouschet;811.140;Viníferas;2019;
Ancelota;6.513.974;Viníferas;2019;
Aramon;-;Viníferas;2019;
Alfrocheiro;-;Viníferas;2019;
Arinarnoa;2.785.609;Viníferas;2019;
Aspirant Bouschet;15.691.137;Viníferas;2019;
Barbera;437.640;Viníferas;2019;
Bonarda;3.110;Viníferas;2019;
Cabernet Franc;16.626.545;Viníferas;2019;
Cabernet Sauvignon;1.857.999;Viníferas;2019;
Caladoc;108.600;Viníferas;2019;
Campanario;-;Viníferas;2019;
Canaiolo;-;Viníferas;2019;
Carignan;-;Viníferas;2019;
Carmenere;76.625;Viníferas;2019;
Castelão;-;Viníferas;2019;
Corvina;69.910;Viníferas;2019;
Croatina;-;Viníferas;2019;
Cinsaut;-;Viníferas;2019;
Dom Felder;-;Viníferas;2019;
Dolcetto;-;Viníferas;2019;
Durif;-;Viníferas;2019;
Egiodola;6.322.152;Viníferas;2019;
Ekigaina;2.202.348;Viníferas;2019;
Festival (Sugraone);-;Viníferas;2019;
Franconia;-;Viníferas;2019;
Freisa;-;Viníferas;2019;
Gamay St Romain;-;Viníferas;2019;
Gamay Beaujolais;5.375.879;Viníferas;2019;
Grand Noir;-;Viníferas;2019;
Grenache;1.715.870;Viníferas;2019;
Jaen;-;Viníferas;2019;
Lagrein;94.970;Viníferas;2019;
Lambrusco;3.221.972;Viníferas;2019;
Malbec;8.502.206;Viníferas;2019;
Marzemina;-;Viníferas;2019;
Merlot;494.356;Viníferas;2019;
Marselan;154.348;Viníferas;2019;
Molinera;569;Viníferas;2019;
Montepulciano;28.485;Viníferas;2019;
Moscato Bailey;3.541.181;Viníferas;2019;
Napa Gamay;-;Viníferas;2019;
Nebbiolo;254.738;Viníferas;2019;
Petit Verdot;277.189;Viníferas;2019;
Petite Sirah;198.152;Viníferas;2019;
Pinotage;1.281.674;Viníferas;2019;
Pinot Noir;6.184.345;Viníferas;2019;
Pinot Saint George;-;Viníferas;2019;
Piriquita;-;Viníferas;2019;
Rebo;15.912;Viníferas;2019;
Refosco;380;Viníferas;2019;
Rondinella;684.860;Viníferas;2019;
Ruby Cabernet;78.412;Viníferas;2019;
Sangiovese;3.324.793;Viníferas;2019;
Sira (falsa);-;Viníferas;2019;
Tannat;2.634.802;Viníferas;2019;
Tempranillo;968.038;Viníferas;2019;
Teroldego;717.757;Viníferas;2019;
Torrontes;-;Viníferas;2019;
Tinta Barroca;-;Viníferas;2019;
Touriga Francesa;-;Viníferas;2019;
Touriga Nacional;38.910;Viníferas;2019;
Tinta Madeira;-;Viníferas;2019;
Tintoria;-;Viníferas;2019;
Trincdeira;-;Viníferas;2019;
Trousseau;-;Viníferas;2019;
Zinfandel;-;Viníferas;2019;
Outras1;-;Viníferas;2019;
BRANCAS E ROSADAS;71.266.239;Viníferas;2019;
Aliatico;-;Viníferas;2019;
Aligote;-;Viníferas;2019;
Altesse;-;Viníferas;2019;
Alvarinho;242.238;Viníferas;2019;
Arriloba;-;Viníferas;2019;
Auxerrois;-;Viníferas;2019;
Burger;-;Viníferas;2019;
Chardonnay;4.200.465;Viníferas;2019;
Chasselas;-;Viníferas;2019;
Chenin Blanc;49.100;Viníferas;2019;
Clairette(1);-;Viníferas;2019;
Colombard;97.713;Viníferas;2019;
Flora;-;Viníferas;2019;
Garganega;439.160;Viníferas;2019;
Gewurztraminer;3.201.453;Viníferas;2019;
Gouveio;-;Viníferas;2019;
Gros Manseng;-;Viníferas;2019;
Italia (Pirovano 65) (PE);1.858.705;Viníferas;2019;
Maccabeo;-;Viníferas;2019;
Malvasia;-;Viníferas;2019;
Malvasia Amarela;3.980;Viníferas;2019;
Malvasia Bianca;1.165.104;Viníferas;2019;
Malvasia Chianti;-;Viníferas;2019;
Malvasia Verde;3.578;Viníferas;2019;
Malvasia di Candia;1.544.223;Viníferas;2019;
Malvasia Istriana;950;Viníferas;2019;
Mistura de uvas viníferas branco;12.278;Viníferas;2019;
Mistura de uvas viníferas rosado;325.922;Viníferas;2019;
Moscato Branco;12.100.995;Viníferas;2019;
Moscato Canelli;109.714;Viníferas;2019;
Moscato Giallo;6.365.205;Viníferas;2019;
Moscato Nazareno;77.912;Viníferas;2019;
Moscato Bianco R2;2.920.047;Viníferas;2019;
Moscato de Alexandria;431.897;Viníferas;2019;
Moscato Rosado;15.030;Viníferas;2019;
Muscat à Petits Grains;895.346;Viníferas;2019;
Muller Thurgau;-;Viníferas;2019;
Muscadelle;-;Viníferas;2019;
Ora;-;Viníferas;2019;
Palomino;-;Viníferas;2019;
Petit Manseng;570;Viníferas;2019;
Peverella;70.925;Viníferas;2019;
Pinot Blanc;-;Viníferas;2019;
Pinot Gris;79.922;Viníferas;2019;
Prosecco;184.218;Viníferas;2019;
Red Veltliner;-;Viníferas;2019;
Riesling Italico;20.399.648;Viníferas;2019;
Riesling Renano;13.385.970;Viníferas;2019;
Sauvignon Blanc(2);728.633;Viníferas;2019;
Sauvignon Gris;-;Viníferas;2019;
Seara Nova;-;Viníferas;2019;
Semillon;4.000;Viníferas;2019;
Schonburger;5.500;Viníferas;2019;
Sylvaner;-;Viníferas;2019;
Tocai Friulano;-;Viníferas;2019;
Trebbiano;67.720;Viníferas;2019;
Trebbiano Toscano;184.310;Viníferas;2019;
Verdea;-;Viníferas;2019;
Verdelho;15.503;Viníferas;2019;
Verdiso;-;Viníferas;2019;
Vermentino;-;Viníferas;2019;
Vernaccia;-;Viníferas;2019;
Viognier;78.305;Viníferas;2019;
Outras(3);-;Viníferas;2019;
Total;164.562.826;Viníferas;2019;
TINTAS;394.224.543;Americanas e híbridas;2019;
Bacarina;-;Americanas e híbridas;2019;
Bailey;4.092.669;Americanas e híbridas;2019;
Bordo;117.655.879;Americanas e híbridas;2019;
Bourdin (S);-;Americanas e híbridas;2019;
BRS Carmen;13.771.662;Americanas e híbridas;2019;
BRS Cora;6.442.555;Americanas e híbridas;2019;
BRS Magna;2.094.359;Americanas e híbridas;2019;
BRS Margot;86.932;Americanas e híbridas;2019;
BRS Morena;-;Americanas e híbridas;2019;
BRS Rúbea;191.970;Americanas e híbridas;2019;
BRS Violeta;15.601.302;Americanas e híbridas;2019;
BRS Vitória;125.731;Americanas e híbridas;2019;
Champagnon (Champanheta);-;Americanas e híbridas;2019;
Coleções;-;Americanas e híbridas;2019;
Concord;367.793;Americanas e híbridas;2019;
Concord clone 30;621.693;Americanas e híbridas;2019;
Couderc;54.081.578;Americanas e híbridas;2019;
Cynthiana(1);7.346.675;Americanas e híbridas;2019;
Herbemont;14.846.723;Americanas e híbridas;2019;
IAC 138022;-;Americanas e híbridas;2019;
Isabel;125.664.882;Americanas e híbridas;2019;
Isabel Precoce;12.814.595;Americanas e híbridas;2019;
Jacquez;17.862.770;Americanas e híbridas;2019;
Kyoko;-;Americanas e híbridas;2019;
Landot;-;Americanas e híbridas;2019;
Mistura de uvas americanas tinto;8.617;Americanas e híbridas;2019;
Oberlin;-;Americanas e híbridas;2019;
Othello;-;Americanas e híbridas;2019;
Paco;-;Americanas e híbridas;2019;
Patricia;-;Americanas e híbridas;2019;
Seibel;351.956;Americanas e híbridas;2019;
Seibel 2 (seibeleto);26.032;Americanas e híbridas;2019;
Seyve Willard (Tinta);67.600;Americanas e híbridas;2019;
Vênus;100.570;Americanas e híbridas;2019;
BRANCAS E ROSADAS;175.576.873;Americanas e híbridas;2019;
Baco;-;Americanas e híbridas;2019;
Bokay;12.830;Americanas e híbridas;2019;
BRS Clara;-;Americanas e híbridas;2019;
BRS Lorena;23.133.629;Americanas e híbridas;2019;
Couderc 13;33.620.117;Americanas e híbridas;2019;
Delaware;-;Americanas e híbridas;2019;
Dona Zillá;10.610;Americanas e híbridas;2019;
Dut Chess;-;Americanas e híbridas;2019;
Goethe;104.596.918;Americanas e híbridas;2019;
IAC;-;Americanas e híbridas;2019;
Juliana;-;Americanas e híbridas;2019;
Martha;113.040;Americanas e híbridas;2019;
Mistura de uvas americanas;1.856;Americanas e híbridas;2019;
Moscato Embrapa;5.747.131;Americanas e híbridas;2019;
Niagara;-;Americanas e híbridas;2019;
Niagara Branca;5.574.368;Americanas e híbridas;2019;
Niagara Rosada;2.170.241;Americanas e híbridas;2019;
Poloske;402.953;Americanas e híbridas;2019;
Seleções;-;Americanas e híbridas;2019;
Seyve Villard;-;Americanas e híbridas;2019;
Seyve Villard 5276;97.368;Americanas e híbridas;2019;
Seyve Villard 12375;61.942;Americanas e híbridas;2019;
Tardia de Caxias;33.870;Americanas e híbridas;2019;
Outras(2);-;Americanas e híbridas;2019;
Total;569.801.416;Americanas e híbridas;2019;
TINTAS;21.732;Uvas de mesa;2019;
Alphonse Lavallee;-;Uvas de mesa;2019;
Moscato de Hamburgo;21.732;Uvas de mesa;2019;
BRANCAS;52.760;Uvas de mesa;2019;
Cardinal;-;Uvas de mesa;2019;
Golden Queen;-;Uvas de mesa;2019;
Patrícia;-;Uvas de mesa;2019;
Perlona;1.710;Uvas de mesa;2019;
Italia;-;Uvas de mesa;2019;
Rubi (Itália, Itália Ro);51.050;Uvas de mesa;2019;
Total;74.492;Uvas de mesa;2019;
;-;Sem classificação;2019;Sem classificação
;0;Sem classificação;2019;Total
TINTAS;93.296.587;Viníferas;2020;
Alicante Bouschet;811.140;Viníferas;2020;
Ancelota;6.513.974;Viníferas;2020;
Aramon;-;Viníferas;2020;
Alfrocheiro;-;Viníferas;2020;
Arinarnoa;2.785.609;Viníferas;2020;
Aspirant Bouschet;15.691.137;Viníferas;2020;
Barbera;437.640;Viníferas;2020;
Bonarda;3.110;Viníferas;2020;
Cabernet Franc;16.626.545;Viníferas;2020;
Cabernet Sauvignon;1.857.999;Viníferas;2020;
Caladoc;108.600;Viníferas;2020;
Campanario;-;Viníferas;2020;
Canaiolo;-;Viníferas;2020;
Carignan;-;Viníferas;2020;
