paises;quantidade_kg;valor;categorias;ano
Suíça;54.384;216.317;Vinhos de mesa;2008
Suriname;900;1.625;Vinhos de mesa;2008
Tailândia;-;-;Vinhos de mesa;2008
Taiwan (FORMOSA);10.030;18.679;Vinhos de mesa;2008
Tanzânia;-;-;Vinhos de mesa;2008
Tcheca, República;17.135;64.709;Vinhos de mesa;2008
Togo;5.160;7.800;Vinhos de mesa;2008
Trinidade Tobago;-;-;Vinhos de mesa;2008
Tunísia;-;-;Vinhos de mesa;2008
Turquia;-;-;Vinhos de mesa;2008
Tuvalu;-;-;Vinhos de mesa;2008
Uruguai;-;-;Vinhos de mesa;2008
Vanuatu;-;-;Vinhos de mesa;2008
Venezuela;-;-;Vinhos de mesa;2008
Vietnã;-;-;Vinhos de mesa;2008
Total;10.346.323;7.118.100;Vinhos de mesa;2008
Alemanha;5.423;20.928;Espumantes;2008
Angola;2.244;10.581;Espumantes;2008
Antigua e Barbuda;-;-;Espumantes;2008
Antilhas Holandesas;-;-;Espumantes;2008
Argentina;-;-;Espumantes;2008
Aruba;-;-;Espumantes;2008
Australia;-;-;Espumantes;2008
Bahamas;-;-;Espumantes;2008
Bangladesh;-;-;Espumantes;2008
Barbados;-;-;Espumantes;2008
Belgica;112;682;Espumantes;2008
Benin;-;-;Espumantes;2008
Bermudas;-;-;Espumantes;2008
Bolívia;587;2.048;Espumantes;2008
Bósnia-Herzegovina;-;-;Espumantes;2008
Bulgaria;-;-;Espumantes;2008
Cabo Verde;-;-;Espumantes;2008
Camarões;-;-;Espumantes;2008
Canada;-;-;Espumantes;2008
Catar;-;-;Espumantes;2008
Cayman, Ilhas;-;-;Espumantes;2008
Chile;-;-;Espumantes;2008
China;-;-;Espumantes;2008
Chipre;-;-;Espumantes;2008
Cingapura;378;1.933;Espumantes;2008
Colombia;-;-;Espumantes;2008
Coreia do Sul, Republica da;842;2.553;Espumantes;2008
Costa Rica;-;-;Espumantes;2008
Cuba;-;-;Espumantes;2008
Curaçao;-;-;Espumantes;2008
Dinamarca;-;-;Espumantes;2008
