paises;quantidade_kg;valor;categorias;ano
Peru;17.861;84.084;Vinhos de mesa;2022
Porto Rico;-;-;Vinhos de mesa;2022
Portugal;24.108.787;64.795.326;Vinhos de mesa;2022
Reino Unido;1.655;19.595;Vinhos de mesa;2022
Republica Dominicana;-;-;Vinhos de mesa;2022
Romênia;47.715;99.616;Vinhos de mesa;2022
Rússia;-;-;Vinhos de mesa;2022
San Marino;-;-;Vinhos de mesa;2022
Sérvia;-;-;Vinhos de mesa;2022
Síria;1.094;5.187;Vinhos de mesa;2022
Suíça;-;-;Vinhos de mesa;2022
Tcheca, República;4.950;12.044;Vinhos de mesa;2022
Tunísia;-;-;Vinhos de mesa;2022
Turquia;22.087;38.817;Vinhos de mesa;2022
Ucrânia;-;-;Vinhos de mesa;2022
Uruguai;3.394.161;9.867.675;Vinhos de mesa;2022
Não consta na tabela;-;-;Vinhos de mesa;2022
Não declarados;-;-;Vinhos de mesa;2022
Outros;-;-;Vinhos de mesa;2022
Total;147.600.655;431.979.112;Vinhos de mesa;2022
Africa do Sul;9.882;64.582;Espumantes;2022
Alemanha;12.447;26.877;Espumantes;2022
Argentina;1.333.420;4.123.623;Espumantes;2022
Austrália;-;-;Espumantes;2022
Austria;-;-;Espumantes;2022
Bermudas;5;67;Espumantes;2022
Bahamas;-;-;Espumantes;2022
Bélgica;-;-;Espumantes;2022
Brasil;-;-;Espumantes;2022
Bulgaria;976;1.535;Espumantes;2022
Canada;54;1.017;Espumantes;2022
Chile;342.625;959.421;Espumantes;2022
Croácia;-;-;Espumantes;2022
Cuba;-;-;Espumantes;2022
Emirados Arabes Unidos;-;-;Espumantes;2022
Eslovênia;803;2.982;Espumantes;2022
Espanha;2.236.061;5.668.798;Espumantes;2022
Estados Unidos;181;2.053;Espumantes;2022
França;1.268.840;13.164.535;Espumantes;2022
Geórgia;915;2.325;Espumantes;2022
Grecia;92;366;Espumantes;2022
Hong Kong;-;-;Espumantes;2022
Hungria;2.090;3.828;Espumantes;2022
Indonesia;-;-;Espumantes;2022
Irlanda;-;-;Espumantes;2022
Israel;-;-;Espumantes;2022
Itália;1.169.909;3.356.633;Espumantes;2022
Luxemburgo;-;-;Espumantes;2022
Mexico;-;-;Espumantes;2022
Moldávia;2.892;3.713;Espumantes;2022
Nova Zelândia;270;3.114;Espumantes;2022
Paises Baixos;-;-;Espumantes;2022
Panama;-;-;Espumantes;2022
Peru;-;-;Espumantes;2022
Portugal;103.443;391.952;Espumantes;2022
Reino Unido;-;-;Espumantes;2022
Romenia;1.914;5.007;Espumantes;2022
Suíça;-;-;Espumantes;2022
Tunisia;-;-;Espumantes;2022
Ucrânia;1.330;1.616;Espumantes;2022
Uruguai;1.206;5.579;Espumantes;2022
Não consta na tabela;-;-;Espumantes;2022
Não declarados;-;-;Espumantes;2022
Outros;-;-;Espumantes;2022
Total;6.489.355;27.789.623;Espumantes;2022
Argélia;-;-;Uvas frescas;2022
Argentina;771.187;1.053.519;Uvas frescas;2022
Brasil;-;-;Uvas frescas;2022
Chile;6.536.258;9.640.996;Uvas frescas;2022
Colômbia;-;-;Uvas frescas;2022
Egito;27.760;53.709;Uvas frescas;2022
Espanha;-;-;Uvas frescas;2022
Estados Unidos;-;-;Uvas frescas;2022
Grécia;-;-;Uvas frescas;2022
Itália;-;-;Uvas frescas;2022
México;414.622;902.301;Uvas frescas;2022
Peru;-;-;Uvas frescas;2022
Paraguai;-;-;Uvas frescas;2022
Portugal;-;-;Uvas frescas;2022
Panamá;-;-;Uvas frescas;2022
Reino Unido;-;-;Uvas frescas;2022
Uruguai;-;-;Uvas frescas;2022
Venezuela;-;-;Uvas frescas;2022
Não consta na tabela;-;-;Uvas frescas;2022
Outros;-;-;Uvas frescas;2022
Total;7.749.827;11.650.525;Uvas frescas;2022
Afeganistão;-;-;Uvas passas;2022
África do Sul;657.826;1.266.633;Uvas passas;2022
Alemanha, República Democrática;-;-;Uvas passas;2022
Arábia Saudita;-;-;Uvas passas;2022
Argentina;20.829.418;35.659.325;Uvas passas;2022
Austrália;-;-;Uvas passas;2022
Bélgica;-;-;Uvas passas;2022
Chile;3.584.100;5.524.707;Uvas passas;2022
China;-;-;Uvas passas;2022
China Continental;-;-;Uvas passas;2022
Cingapura;-;-;Uvas passas;2022
Costa Rica;49.000;95.550;Uvas passas;2022
Emirados;-;-;Uvas passas;2022
Espanha;-;-;Uvas passas;2022
Estados Unidos;115.517;380.380;Uvas passas;2022
França;-;-;Uvas passas;2022
Grécia;-;-;Uvas passas;2022
Guiana Britânica;-;-;Uvas passas;2022
Índia;2.767.840;2.568.914;Uvas passas;2022
Irã;403.000;948.438;Uvas passas;2022
Itália;-;-;Uvas passas;2022
Japão;-;-;Uvas passas;2022
México;-;-;Uvas passas;2022
Países Baixos;-;-;Uvas passas;2022
Paraguai;-;-;Uvas passas;2022
Peru;-;-;Uvas passas;2022
Portugal;-;-;Uvas passas;2022
Reino Unido;-;-;Uvas passas;2022
Suécia;-;-;Uvas passas;2022
Turquia;1.477.000;2.602.207;Uvas passas;2022
Uruguai;-;-;Uvas passas;2022
Uzbequistão;132.000;165.492;Uvas passas;2022
Venezuela;-;-;Uvas passas;2022
Não consta na tabela;-;-;Uvas passas;2022
Outros;-;-;Uvas passas;2022
Total;30.015.701;49.211.646;Uvas passas;2022
Africa do Sul;-;-;Suco de uva;2022
Alemanha;-;-;Suco de uva;2022
Argentina;-;-;Suco de uva;2022
Austria;-;-;Suco de uva;2022
Canadá;-;-;Suco de uva;2022
Coreia do Sul, República;-;-;Suco de uva;2022
Coreia do Norte, República;-;-;Suco de uva;2022
Chile;-;-;Suco de uva;2022
China;-;-;Suco de uva;2022
Dinamarca;-;-;Suco de uva;2022
Espanha;-;-;Suco de uva;2022
Estados Unidos;29.414;16.781;Suco de uva;2022
França;-;-;Suco de uva;2022
Guiana;-;-;Suco de uva;2022
Israel;-;-;Suco de uva;2022
itália;-;-;Suco de uva;2022
Japão;-;-;Suco de uva;2022
Líbano;-;-;Suco de uva;2022
México;-;-;Suco de uva;2022
Países Baixos;-;-;Suco de uva;2022
Panamá;-;-;Suco de uva;2022
Peru;-;-;Suco de uva;2022
Portugal;-;-;Suco de uva;2022
Reino Unido;-;-;Suco de uva;2022
Taiwan;-;-;Suco de uva;2022
Turquia;-;-;Suco de uva;2022
Uruguai;-;-;Suco de uva;2022
Venezuela;-;-;Suco de uva;2022
Outros;-;-;Suco de uva;2022
Total;29.414;16.781;Suco de uva;2022
Africa do Sul;738.116;2.266.827;Vinhos de mesa;2023
Alemanha;92.600;438.595;Vinhos de mesa;2023
Argélia;-;-;Vinhos de mesa;2023
Arábia Saudita;-;-;Vinhos de mesa;2023
Argentina;27.980.574;87.519.642;Vinhos de mesa;2023
Armênia;2.385;13.668;Vinhos de mesa;2023
Austrália;579.279;1.590.059;Vinhos de mesa;2023
Áustria;7.403;53.974;Vinhos de mesa;2023
Bermudas;1;4;Vinhos de mesa;2023
Bélgica;-;-;Vinhos de mesa;2023
Bolívia;-;-;Vinhos de mesa;2023
Bósnia-Herzegovina;-;-;Vinhos de mesa;2023
Brasil;1;5;Vinhos de mesa;2023
Bulgária;29.929;43.221;Vinhos de mesa;2023
Canada;884;11.607;Vinhos de mesa;2023
Chile;68.881.232;184.335.335;Vinhos de mesa;2023
China;-;-;Vinhos de mesa;2023
Coreia do Sul, República;-;-;Vinhos de mesa;2023
Croácia;887;35.563;Vinhos de mesa;2023
Emirados Árabes Unidos;-;-;Vinhos de mesa;2023
Eslovênia;31.509;127.726;Vinhos de mesa;2023
Eslováquia;-;-;Vinhos de mesa;2023
Espanha;6.487.047;17.187.749;Vinhos de mesa;2023
Estados Unidos;393.211;3.023.220;Vinhos de mesa;2023
França;4.911.903;25.955.232;Vinhos de mesa;2023
Geórgia;12.506;26.983;Vinhos de mesa;2023
Geórgia do Sul e Sandwich do Sul, Ilhas;1.788;2.797;Vinhos de mesa;2023
Grécia;45.440;148.515;Vinhos de mesa;2023
Hong Kong;-;-;Vinhos de mesa;2023
Hungria;29.260;160.168;Vinhos de mesa;2023
Indonesia;-;-;Vinhos de mesa;2023
Irlanda;-;-;Vinhos de mesa;2023
Israel;19.589;82.489;Vinhos de mesa;2023
Itália;9.622.119;33.330.465;Vinhos de mesa;2023
Japão;-;-;Vinhos de mesa;2023
Iugoslavia;-;-;Vinhos de mesa;2023
Líbano;30.149;182.548;Vinhos de mesa;2023
Luxemburgo;-;-;Vinhos de mesa;2023
Macedônia;-;-;Vinhos de mesa;2023
Marrocos;13.932;46.497;Vinhos de mesa;2023
México;-;-;Vinhos de mesa;2023
Moldávia;38.336;70.282;Vinhos de mesa;2023
Montenegro;-;-;Vinhos de mesa;2023
Noruega;-;-;Vinhos de mesa;2023
Nova Zelândia;52.265;403.597;Vinhos de mesa;2023
Paises Baixos (Holanda);-;-;Vinhos de mesa;2023
Panamá;-;-;Vinhos de mesa;2023
Peru;17.861;84.084;Vinhos de mesa;2023
Porto Rico;-;-;Vinhos de mesa;2023
Portugal;24.108.787;64.795.326;Vinhos de mesa;2023
Reino Unido;1.655;19.595;Vinhos de mesa;2023
Republica Dominicana;-;-;Vinhos de mesa;2023
Romênia;47.715;99.616;Vinhos de mesa;2023
Rússia;-;-;Vinhos de mesa;2023
San Marino;-;-;Vinhos de mesa;2023
Sérvia;-;-;Vinhos de mesa;2023
Síria;1.094;5.187;Vinhos de mesa;2023
Suíça;-;-;Vinhos de mesa;2023
Tcheca, República;4.950;12.044;Vinhos de mesa;2023
Tunísia;-;-;Vinhos de mesa;2023
Turquia;22.087;38.817;Vinhos de mesa;2023
Ucrânia;-;-;Vinhos de mesa;2023
Uruguai;3.394.161;9.867.675;Vinhos de mesa;2023
Não consta na tabela;-;-;Vinhos de mesa;2023
Não declarados;-;-;Vinhos de mesa;2023
Outros;-;-;Vinhos de mesa;2023
Total;147.600.655;431.979.112;Vinhos de mesa;2023
Africa do Sul;9.882;64.582;Espumantes;2023
Alemanha;12.447;26.877;Espumantes;2023
Argentina;1.333.420;4.123.623;Espumantes;2023
Austrália;-;-;Espumantes;2023
Austria;-;-;Espumantes;2023
Bermudas;5;67;Espumantes;2023
Bahamas;-;-;Espumantes;2023
Bélgica;-;-;Espumantes;2023
Brasil;-;-;Espumantes;2023
Bulgaria;976;1.535;Espumantes;2023
Canada;54;1.017;Espumantes;2023
Chile;342.625;959.421;Espumantes;2023
Croácia;-;-;Espumantes;2023
Cuba;-;-;Espumantes;2023
Emirados Arabes Unidos;-;-;Espumantes;2023
Eslovênia;803;2.982;Espumantes;2023
Espanha;2.236.061;5.668.798;Espumantes;2023
Estados Unidos;181;2.053;Espumantes;2023
França;1.268.840;13.164.535;Espumantes;2023
Geórgia;915;2.325;Espumantes;2023
Grecia;92;366;Espumantes;2023
Hong Kong;-;-;Espumantes;2023
Hungria;2.090;3.828;Espumantes;2023
Indonesia;-;-;Espumantes;2023
Irlanda;-;-;Espumantes;2023
Israel;-;-;Espumantes;2023
Itália;1.169.909;3.356.633;Espumantes;2023
Luxemburgo;-;-;Espumantes;2023
Mexico;-;-;Espumantes;2023
Moldávia;2.892;3.713;Espumantes;2023
Nova Zelândia;270;3.114;Espumantes;2023
Paises Baixos;-;-;Espumantes;2023
Panama;-;-;Espumantes;2023
Peru;-;-;Espumantes;2023
Portugal;103.443;391.952;Espumantes;2023
Reino Unido;-;-;Espumantes;2023
Romenia;1.914;5.007;Espumantes;2023
Suíça;-;-;Espumantes;2023
Tunisia;-;-;Espumantes;2023
Ucrânia;1.330;1.616;Espumantes;2023
Uruguai;1.206;5.579;Espumantes;2023
Não consta na tabela;-;-;Espumantes;2023
Não declarados;-;-;Espumantes;2023
Outros;-;-;Espumantes;2023
Total;6.489.355;27.789.623;Espumantes;2023
Argélia;-;-;Uvas frescas;2023
Argentina;771.187;1.053.519;Uvas frescas;2023
Brasil;-;-;Uvas frescas;2023
Chile;6.536.258;9.640.996;Uvas frescas;2023
Colômbia;-;-;Uvas frescas;2023
Egito;27.760;53.709;Uvas frescas;2023
Espanha;-;-;Uvas frescas;2023
Estados Unidos;-;-;Uvas frescas;2023
Grécia;-;-;Uvas frescas;2023
Itália;-;-;Uvas frescas;2023
México;414.622;902.301;Uvas frescas;2023
Peru;-;-;Uvas frescas;2023
Paraguai;-;-;Uvas frescas;2023
Portugal;-;-;Uvas frescas;2023
Panamá;-;-;Uvas frescas;2023
Reino Unido;-;-;Uvas frescas;2023
Uruguai;-;-;Uvas frescas;2023
Venezuela;-;-;Uvas frescas;2023
Não consta na tabela;-;-;Uvas frescas;2023
Outros;-;-;Uvas frescas;2023
Total;7.749.827;11.650.525;Uvas frescas;2023
Afeganistão;-;-;Uvas passas;2023
África do Sul;657.826;1.266.633;Uvas passas;2023
Alemanha, República Democrática;-;-;Uvas passas;2023
Arábia Saudita;-;-;Uvas passas;2023
Argentina;20.829.418;35.659.325;Uvas passas;2023
Austrália;-;-;Uvas passas;2023
Bélgica;-;-;Uvas passas;2023
Chile;3.584.100;5.524.707;Uvas passas;2023
China;-;-;Uvas passas;2023
China Continental;-;-;Uvas passas;2023
Cingapura;-;-;Uvas passas;2023
Costa Rica;49.000;95.550;Uvas passas;2023
Emirados;-;-;Uvas passas;2023
Espanha;-;-;Uvas passas;2023
Estados Unidos;115.517;380.380;Uvas passas;2023
França;-;-;Uvas passas;2023
Grécia;-;-;Uvas passas;2023
Guiana Britânica;-;-;Uvas passas;2023
Índia;2.767.840;2.568.914;Uvas passas;2023
Irã;403.000;948.438;Uvas passas;2023
Itália;-;-;Uvas passas;2023
Japão;-;-;Uvas passas;2023
México;-;-;Uvas passas;2023
Países Baixos;-;-;Uvas passas;2023
Paraguai;-;-;Uvas passas;2023
Peru;-;-;Uvas passas;2023
Portugal;-;-;Uvas passas;2023
Reino Unido;-;-;Uvas passas;2023
Suécia;-;-;Uvas passas;2023
Turquia;1.477.000;2.602.207;Uvas passas;2023
Uruguai;-;-;Uvas passas;2023
Uzbequistão;132.000;165.492;Uvas passas;2023
Venezuela;-;-;Uvas passas;2023
Não consta na tabela;-;-;Uvas passas;2023
Outros;-;-;Uvas passas;2023
Total;30.015.701;49.211.646;Uvas passas;2023
Africa do Sul;-;-;Suco de uva;2023
Alemanha;-;-;Suco de uva;2023
Argentina;-;-;Suco de uva;2023
Austria;-;-;Suco de uva;2023
Canadá;-;-;Suco de uva;2023
Coreia do Sul, República;-;-;Suco de uva;2023
Coreia do Norte, República;-;-;Suco de uva;2023
Chile;-;-;Suco de uva;2023
China;-;-;Suco de uva;2023
Dinamarca;-;-;Suco de uva;2023
Espanha;-;-;Suco de uva;2023
Estados Unidos;29.414;16.781;Suco de uva;2023
França;-;-;Suco de uva;2023
Guiana;-;-;Suco de uva;2023
Israel;-;-;Suco de uva;2023
itália;-;-;Suco de uva;2023
Japão;-;-;Suco de uva;2023
Líbano;-;-;Suco de uva;2023
México;-;-;Suco de uva;2023
Países Baixos;-;-;Suco de uva;2023
Panamá;-;-;Suco de uva;2023
Peru;-;-;Suco de uva;2023
Portugal;-;-;Suco de uva;2023
Reino Unido;-;-;Suco de uva;2023
Taiwan;-;-;Suco de uva;2023
Turquia;-;-;Suco de uva;2023
Uruguai;-;-;Suco de uva;2023
Venezuela;-;-;Suco de uva;2023
Outros;-;-;Suco de uva;2023
Total;29.414;16.781;Suco de uva;2023
